role,city,salary_min,salary_max,skills,experience,description,industry,posting_date,month
Associate manager- Data analyst /MIS,Mumbai,4.5,8.0,Data analysisdata scienceGCPBusiness analyticsArtificial IntelligenceMachine learningContinuous improvementSQL,3,Data analysisdata scienceGCPBusiness analyticsArtificial IntelligenceMachine learningContinuous improvementSQL,IT,2026-02-15,Feb
"Data Governance - Quality Assurance Analyst, AVP",Pune,4.0,8.0,SANStatistical analysisFrenchbig data analyticsOOPSMachine learningData structuresInformation technology,2,SANStatistical analysisFrenchbig data analyticsOOPSMachine learningData structuresInformation technology,IT,2026-02-15,Feb
Executive (Data Analysis),Mumbai,10.5,17.5,Computer visiondeep learningMachine learningShell scriptingTransformersData analyticsMathematicsStatistics,7,Computer visiondeep learningMachine learningShell scriptingTransformersData analyticsMathematicsStatistics,IT,2026-02-15,Feb
"Intermediate Representative, Data Management & Quantitative Analysis",Pune,4.5,8.0,RCredit AssessmentRisk ModelingsqlPythonRisk ReportingCredit Scoringloan portfolio,3,RCredit AssessmentRisk ModelingsqlPythonRisk ReportingCredit Scoringloan portfolio,IT,2026-02-15,Feb
"Analyst, Data Management & Quantitative Analysis",Pune,10.5,17.5,MicrostrategyMS SQLSAPDb2MySQLAgileOracleTeradata,7,MicrostrategyMS SQLSAPDb2MySQLAgileOracleTeradata,IT,2026-02-15,Feb
Sr. Data Analyst,Hyderabad,16.5,27.5,Strong skill in PythonTableau or Power BI.proficiency in SQLSQLDataPythonTableauPower Bi,11,Strong skill in PythonTableau or Power BI.proficiency in SQLSQLDataPythonTableauPower Bi,IT,2026-02-15,Feb
Data/Research Analyst,Mumbai,12.0,20.0,Supply chainTelecomAnalyticalmicrosoftBusiness solutionsForecastingAnalyticsSQL,8,Supply chainTelecomAnalyticalmicrosoftBusiness solutionsForecastingAnalyticsSQL,IT,2026-02-15,Feb
Data/Research Analyst,Mumbai,15.0,25.0,SANcustomer analyticsAnalyticalPredictive modelingDigital marketingSQLPythonModeling,10,SANcustomer analyticsAnalyticalPredictive modelingDigital marketingSQLPythonModeling,IT,2026-02-15,Feb
Senior Data Research Analyst,Mumbai,6.0,10.0,Text miningTelecomdata scienceMySQLMachine learningData miningForecastingAnalytics,4,Text miningTelecomdata scienceMySQLMachine learningData miningForecastingAnalytics,IT,2026-02-15,Feb
Data/Research Analyst,Mumbai,7.5,12.5,Natural Language ProcessingPythonData SciencedataLanguagesScienceSeniorProcess,5,Natural Language ProcessingPythonData SciencedataLanguagesScienceSeniorProcess,IT,2026-02-15,Feb
Data / Research Analyst,Mumbai,7.5,12.5,big data analyticsMachine learninglinear regressionData structuresNatural language processingPredictive modelingPattern recognitionData mining,5,big data analyticsMachine learninglinear regressionData structuresNatural language processingPredictive modelingPattern recognitionData mining,IT,2026-02-15,Feb
Data Platform Engineering Analyst,Pune,12.0,20.0,Computer scienceLogistic regressionData analysisAnalyticalTroubleshootingRisk managementContinuous improvementAnalytics,8,Computer scienceLogistic regressionData analysisAnalyticalTroubleshootingRisk managementContinuous improvementAnalytics,IT,2026-02-15,Feb
Lead Data Management Analyst,Hyderabad,7.5,12.5,Business processComputer scienceBack officeData analyticsdata visualizationData miningPowerpointMacros,5,Business processComputer scienceBack officeData analyticsdata visualizationData miningPowerpointMacros,IT,2026-02-15,Feb
Data/Research Analyst,Mumbai,4.0,8.0,IT servicesData analysisdata scienceMachine learningData collectionProduct designData miningAnalytics,1,IT servicesData analysisdata scienceMachine learningData collectionProduct designData miningAnalytics,IT,2026-02-15,Feb
Data Scientist - Associate Manager / Manager - NRI,Other,12.0,20.0,Business processComputer scienceBack officeData analyticsdata visualizationData miningPowerpointMacros,8,Business processComputer scienceBack officeData analyticsdata visualizationData miningPowerpointMacros,IT,2026-02-15,Feb
Data Scientist,Hyderabad,16.5,27.5,Data analysisInterpersonal skillsGoogle AnalyticsStatistical analysisData modelingAnalyticalGamingData warehousing,11,Data analysisInterpersonal skillsGoogle AnalyticsStatistical analysisData modelingAnalyticalGamingData warehousing,IT,2026-02-15,Feb
Data Scientist,Chennai,6.0,10.0,Text miningTelecomdata scienceMySQLMachine learningData miningForecastingAnalytics,4,Text miningTelecomdata scienceMySQLMachine learningData miningForecastingAnalytics,IT,2026-02-15,Feb
Data Scientist,Hyderabad,7.5,12.5,IT servicesData analysisdata scienceMachine learningData collectionProduct designData miningAnalytics,5,IT servicesData analysisdata scienceMachine learningData collectionProduct designData miningAnalytics,IT,2026-02-15,Feb
Data Scientist - Data Science (Regression),Bangalore,10.5,17.5,Data analysisOperations researchFront endStatistical analysisdata scienceSimulationPharmaAnalytical,7,Data analysisOperations researchFront endStatistical analysisdata scienceSimulationPharmaAnalytical,IT,2026-02-15,Feb
Data Scientist Machine Learning,Bangalore,10.5,17.5,deep learningdata scienceNeural networksMachine learningMathematicsAnalyticsProject life cycleTechnical documentation,7,deep learningdata scienceNeural networksMachine learningMathematicsAnalyticsProject life cycleTechnical documentation,IT,2026-02-15,Feb
Data Scientist - Data Science (Regression),Bangalore,10.5,17.5,hivesparkSCALAHadoopApplication developmentData analyticsTeradataSQL,7,hivesparkSCALAHadoopApplication developmentData analyticsTeradataSQL,IT,2026-02-15,Feb
Data Scientist II,Hyderabad,15.0,25.0,Data ScienceT-SQLNLPLogistic Regressionperformance tuningLinear RegressionBig DataTime Series analysis,10,Data ScienceT-SQLNLPLogistic Regressionperformance tuningLinear RegressionBig DataTime Series analysis,IT,2026-02-15,Feb
Sr . Data Scientist / Data Scientist,Mumbai,9.0,15.0,Data analysisSimulationdata sciencePharmaAnalyticalMachine learningmodel developmentOutsourcing,6,Data analysisSimulationdata sciencePharmaAnalyticalMachine learningmodel developmentOutsourcing,IT,2026-02-15,Feb
Data Scientist,Other,7.5,12.5,VisualizeML models on GCP cloudML and LLM-based solutionsExcellent Programming skillsProgramProgrammingVisualData,5,VisualizeML models on GCP cloudML and LLM-based solutionsExcellent Programming skillsProgramProgrammingVisualData,IT,2026-02-15,Feb
Risk Analyst @ Muthoot Finance - Bangalore,Bangalore,6.0,10.0,Computer scienceData analysisGITHP data protectorMachine learningAgileData structuresJIRA,4,Computer scienceData analysisGITHP data protectorMachine learningAgileData structuresJIRA,Finance,2026-02-15,Feb
Senior Data Scientist,Other,4.5,8.0,Text miningNetworkingNBFCNeural networksMachine learningTelecommunicationSupport servicesAnova,3,Text miningNetworkingNBFCNeural networksMachine learningTelecommunicationSupport servicesAnova,IT,2026-02-15,Feb
Data Scientist,Other,7.5,12.5,data sciencePythonDataScience,5,data sciencePythonDataScience,IT,2026-02-15,Feb
Lead - Applied Data Scientist,Bangalore,12.0,20.0,Logistic regressionData analysisdata scienceBfsiAnalyticallinear regressionSPSSAsset management,8,Logistic regressionData analysisdata scienceBfsiAnalyticallinear regressionSPSSAsset management,IT,2026-02-15,Feb
Data Scientist,Bangalore,10.5,17.5,Data analysisdata scienceNeural networksAnalyticalMachine learningData collectionData miningbig data,7,Data analysisdata scienceNeural networksAnalyticalMachine learningData collectionData miningbig data,IT,2026-02-15,Feb
Sr Data Scientist I6 - Shani OTN ITU Replacement,Bangalore,9.0,15.0,Computer scienceremediationRoot cause analysisData analysisdata scienceMachine learningResearchWiFi,6,Computer scienceremediationRoot cause analysisData analysisdata scienceMachine learningResearchWiFi,IT,2026-02-15,Feb
Job Opportunity For Senior Data Scientist,Pune,10.5,17.5,CVSSQL queriesData analysisdata scienceArtificial IntelligenceMachine learningMedical insuranceData mining,7,CVSSQL queriesData analysisdata scienceArtificial IntelligenceMachine learningMedical insuranceData mining,IT,2026-02-15,Feb
Data Scientist,Hyderabad,9.0,15.0,Data analysisdata scienceArtificial IntelligenceMachine learningStatistical AnalystMedical insuranceData miningPython,6,Data analysisdata scienceArtificial IntelligenceMachine learningStatistical AnalystMedical insuranceData miningPython,IT,2026-02-15,Feb
"Senior Data Scientist, Actimize",Pune,7.5,12.5,CVSSQL queriesData analysisdata scienceArtificial IntelligenceMachine learningMedical insuranceData mining,5,CVSSQL queriesData analysisdata scienceArtificial IntelligenceMachine learningMedical insuranceData mining,IT,2026-02-15,Feb
Data Scientist - Mortgage Finance,Hyderabad,19.5,32.5,AzureNLPComputer VisionAWSPythonGCPComputerData,13,AzureNLPComputer VisionAWSPythonGCPComputerData,IT,2026-02-15,Feb
Data Scientist,Hyderabad,4.5,8.0,Data analysisdata scienceNeural networksAnalyticalMachine learningPredictive modelingdata visualizationAnalytics,3,Data analysisdata scienceNeural networksAnalyticalMachine learningPredictive modelingdata visualizationAnalytics,IT,2026-02-15,Feb
Requirement of Data Scientist - Mortgage Finance,Hyderabad,7.5,12.5,Text miningData analysisStatistical analysisImage processingdata scienceNeural networksAnalyticalManager Quality Control,5,Text miningData analysisStatistical analysisImage processingdata scienceNeural networksAnalyticalManager Quality Control,IT,2026-02-15,Feb
Product Analyst,Bangalore,13.5,22.5,EconomicsAnalyticalProgrammingStatisticsAnalyticsDataProgram,9,EconomicsAnalyticalProgrammingStatisticsAnalyticsDataProgram,IT,2026-02-15,Feb
Senior Data Scientist,Bangalore,6.0,10.0,Data analysisdata scienceNeural networksMachine learningProgrammingNatural language processingOpen sourcebig data,4,Data analysisdata scienceNeural networksMachine learningProgrammingNatural language processingOpen sourcebig data,IT,2026-02-15,Feb
Data Scientist,Hyderabad,9.0,15.0,Machine LearningDeep LearningNLPData ScientistComputer VisionJavaData EngineeringArtificial Intelligence,6,Machine LearningDeep LearningNLPData ScientistComputer VisionJavaData EngineeringArtificial Intelligence,IT,2026-02-15,Feb
Senior Data Scientist,Mumbai,12.0,20.0,Manager Internal AuditData analysisAutomationdata scienceExternal auditCodingAgileData analytics,8,Manager Internal AuditData analysisAutomationdata scienceExternal auditCodingAgileData analytics,IT,2026-02-01,Feb
Senior Data Scientist,Bangalore,12.0,20.0,AimlDeep LearningTensorflowPytorchLLMScikit-LearnData,8,AimlDeep LearningTensorflowPytorchLLMScikit-LearnData,IT,2026-02-15,Feb
Data Scientist,Chennai,9.0,15.0,computer visionTensorflowOpencvImage ProcessingDeep LearningResnetProcessingProcess,6,computer visionTensorflowOpencvImage ProcessingDeep LearningResnetProcessingProcess,IT,2026-02-15,Feb
Data Scientist - Insurance,Mumbai,4.0,8.0,Data ScienceProgram ManagementData MigrationProject ManagementKPIDataManagementProgram,2,Data ScienceProgram ManagementData MigrationProject ManagementKPIDataManagementProgram,IT,2026-01-15,Jan
Senior Data Scientist,Mumbai,12.0,20.0,Data ScienceNatural Language ProcessingDeep LearningPredictive ModelingNeural NetworksComputer VisionDataLanguages,8,Data ScienceNatural Language ProcessingDeep LearningPredictive ModelingNeural NetworksComputer VisionDataLanguages,IT,2026-02-15,Feb
Sr Data Scientist,Pune,7.5,12.5,Data analysisTranscriptionAnalyticalMachine learningData collectionHealthcareData miningMonitoring,5,Data analysisTranscriptionAnalyticalMachine learningData collectionHealthcareData miningMonitoring,IT,2026-02-15,Feb
Senior Data Scientist,Bangalore,7.5,12.5,data scienceData modelingAnalyticalMachine learningCloudData structuresContinuous improvementsap hana,5,data scienceData modelingAnalyticalMachine learningCloudData structuresContinuous improvementsap hana,IT,2026-02-15,Feb
Senior Data Scientist,Chennai,10.5,17.5,Data analysisdata scienceMachine learningMathematicsStatisticsSQLPythonMachine,7,Data analysisdata scienceMachine learningMathematicsStatisticsSQLPythonMachine,IT,2026-02-15,Feb
Intern -jr Data Scientist,Bangalore,7.5,12.5,deep learningData analysisdata scienceData modelingDebuggingMachine learningJavascriptDeployment,5,deep learningData analysisdata scienceData modelingDebuggingMachine learningJavascriptDeployment,IT,2026-02-15,Feb
Data Scientist,Pune,4.5,8.0,Power BiSnowflakeData AnalyticsSQLVBADatabase AnalysisDataDBMS,3,Power BiSnowflakeData AnalyticsSQLVBADatabase AnalysisDataDBMS,IT,2026-02-15,Feb
Data Scientist,Hyderabad,4.0,8.0,Computer scienceData analysisOperations researchStatistical modelingNetworkingdata scienceAnalyticalProgramming,2,Computer scienceData analysisOperations researchStatistical modelingNetworkingdata scienceAnalyticalProgramming,IT,2026-02-15,Feb
Data Scientist,Mumbai,6.0,10.0,Data analysisdata scienceClinical operationsMachine learningHealthcareWellnessHealth managementSQL,4,Data analysisdata scienceClinical operationsMachine learningHealthcareWellnessHealth managementSQL,IT,2026-02-15,Feb
Data Scientist,Pune,4.0,8.0,deep learningdata scienceData modelingBfsiMachine learningAgileData warehousingFinancial services,2,deep learningdata scienceData modelingBfsiMachine learningAgileData warehousingFinancial services,IT,2026-02-15,Feb
Sr. Data Scientist,Ahmedabad,12.0,20.0,Operations researchtableaudata scienceAnalyticalMachine learningHadoopSCALAData Analyst,8,Operations researchtableaudata scienceAnalyticalMachine learningHadoopSCALAData Analyst,IT,2026-02-15,Feb
Data Scientist,Ahmedabad,10.5,17.5,Manager Internal AuditProcess consultingExcelAccountingAnalyticalrisk consultingData analyticsAudit Analyst,7,Manager Internal AuditProcess consultingExcelAccountingAnalyticalrisk consultingData analyticsAudit Analyst,IT,2026-02-15,Feb
Data Scientist,Ahmedabad,4.5,8.0,Data analysisData managementRevenue assurancebig data analyticsBusiness FinanceCustomer servicePowerpointAutomotive,3,Data analysisData managementRevenue assurancebig data analyticsBusiness FinanceCustomer servicePowerpointAutomotive,IT,2026-02-15,Feb
Data Scientist,Bangalore,9.0,15.0,Computer scienceData analysisTicketingNutritionArchitectureAnalyticsTechnical supportRemote sensing,6,Computer scienceData analysisTicketingNutritionArchitectureAnalyticsTechnical supportRemote sensing,IT,2026-02-15,Feb
Senior Data Scientist,Other,9.0,15.0,Computer visiondeep learningImage processingMachine learningAlgorithm developmentData processingData analyticsMathematics,6,Computer visiondeep learningImage processingMachine learningAlgorithm developmentData processingData analyticsMathematics,IT,2026-02-15,Feb
Data Scientist,Hyderabad,10.5,17.5,tableauArtificial Intelligencedata visualizationExcelReporting AnalystAnalyticsIntelligenceData,7,tableauArtificial Intelligencedata visualizationExcelReporting AnalystAnalyticsIntelligenceData,IT,2026-02-15,Feb
Product Data Scientist,Bangalore,7.5,12.5,regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData,5,regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData,IT,2026-02-15,Feb
Senior Data Scientist,Mumbai,9.0,15.0,Process automationData analysisSASAnalyticaldata visualizationBusiness intelligenceAnalyticsSQL,6,Process automationData analysisSASAnalyticaldata visualizationBusiness intelligenceAnalyticsSQL,IT,2026-02-15,Feb
Manager - Data Scientist,Bangalore,4.5,8.0,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython,3,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython,IT,2026-02-15,Feb
Sr Analyst,Bangalore,7.5,12.5,azure databricksdata analyticsmodelinganalyticalstrong analytical skillsci/cdpysparkmicrosoft azure,5,azure databricksdata analyticsmodelinganalyticalstrong analytical skillsci/cdpysparkmicrosoft azure,IT,2026-02-15,Feb
Data Scientist,Ahmedabad,7.5,12.5,SANSystem architectureData analysisXMLMachine learningHTMLJSONMongoDB,5,SANSystem architectureData analysisXMLMachine learningHTMLJSONMongoDB,IT,2026-02-15,Feb
"Opening - Data Scientist - Computer Vision - Product Based MNC, Pune",Pune,6.0,10.0,data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython,4,data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython,IT,2026-02-15,Feb
Data Migration Data Scientist,Hyderabad,9.0,15.0,Relationship managementBusiness processChange managementERPProject managementAnalyticalBusiness process analysisAccount management,6,Relationship managementBusiness processChange managementERPProject managementAnalyticalBusiness process analysisAccount management,IT,2026-02-15,Feb
Data Scientist,Hyderabad,28.5,47.5,Career developmentData analysisdata scienceMachine learningData qualityForecastingAnalyticsRecruitment,19,Career developmentData analysisdata scienceMachine learningData qualityForecastingAnalyticsRecruitment,IT,2026-02-15,Feb
Data Scientist,Bangalore,19.5,32.5,Regression testingMachine LearningDeep LearningTensorflowSEO testingweb applicationsJiraR,13,Regression testingMachine LearningDeep LearningTensorflowSEO testingweb applicationsJiraR,IT,2026-02-15,Feb
Data Scientist (SAP HANA Cloud),Other,7.5,12.5,Data SciencepythonPyTorchArtificial IntelligenceLarge language ManagementMachine LearningTensorFlowIntelligence,5,Data SciencepythonPyTorchArtificial IntelligenceLarge language ManagementMachine LearningTensorFlowIntelligence,IT,2026-02-15,Feb
Data Scientist,Other,4.0,8.0,CloudETL toolsData ArchitectureData virtualizationdata analyticsteam managementdata miningteam handling,2,CloudETL toolsData ArchitectureData virtualizationdata analyticsteam managementdata miningteam handling,IT,2026-02-15,Feb
Data Scientist,Other,13.5,22.5,GITsparkSCALADesign developmentData analyticsbig dataInformation technologySQL,9,GITsparkSCALADesign developmentData analyticsbig dataInformation technologySQL,IT,2026-02-15,Feb
Database Analyst,Gurgaon,7.5,12.5,Computer scienceAnalytical skillsData analysisStatistical analysisDatabase designProgrammingData qualityPredictive modeling,5,Computer scienceAnalytical skillsData analysisStatistical analysisDatabase designProgrammingData qualityPredictive modeling,IT,2026-02-15,Feb
Data Scientist - Talent Network,Other,13.5,22.5,JavaScalaC + +HadoopSparkAwsData AnalyticsCloud Architect,9,JavaScalaC + +HadoopSparkAwsData AnalyticsCloud Architect,IT,2026-02-15,Feb
Data Scientist,Hyderabad,4.0,8.0,PythonData ScienceJavaREST APINoSQL databaseData EngineeringTDDproduct development,1,PythonData ScienceJavaREST APINoSQL databaseData EngineeringTDDproduct development,IT,2026-02-15,Feb
Data Scientist,Bangalore,4.0,8.0,Data ScienceNLPMachine LearningPythonGen AIOpen AIArtificial IntelligenceScience,1,Data ScienceNLPMachine LearningPythonGen AIOpen AIArtificial IntelligenceScience,IT,2026-02-15,Feb
Data Scientist,Hyderabad,9.0,15.0,data sciencedeep learningpythonnlpmachine learningsqlDataScience,6,data sciencedeep learningpythonnlpmachine learningsqlDataScience,IT,2026-02-15,Feb
RA Internal Audit Analyst,Gurgaon,9.0,15.0,SQL queriesOperations managementData analysisData managementClient supportData qualityTechnology solutionsFinancial services,6,SQL queriesOperations managementData analysisData managementClient supportData qualityTechnology solutionsFinancial services,IT,2026-02-15,Feb
Business Finance,Gurgaon,9.0,15.0,TableauanalyticsData AnalyticsSQLDataDevelopment,6,TableauanalyticsData AnalyticsSQLDataDevelopment,Finance,2026-02-15,Feb
Senior Project Associate - Data Solutions Architect,Bangalore,4.0,8.0,Data Validationdata mappingsqlData WarehousingBusiness AnalyticsRequirement GatheringdocumentationBusiness Analysis,1,Data Validationdata mappingsqlData WarehousingBusiness AnalyticsRequirement GatheringdocumentationBusiness Analysis,IT,2026-02-15,Feb
Machine Learning Engineer,Bangalore,4.0,8.0,MicrostrategyBusiness Data AnalystSchedulingdata visualizationBusiness intelligenceJIRAForecastingSQL,1,MicrostrategyBusiness Data AnalystSchedulingdata visualizationBusiness intelligenceJIRAForecastingSQL,IT,2026-02-15,Feb
Analytics Senior Analyst-Reporting,Gurgaon,4.0,8.0,Relationship managementInterpersonal skillsSalesMISData analyticsManagementMonitoringRelationship,1,Relationship managementInterpersonal skillsSalesMISData analyticsManagementMonitoringRelationship,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,6.0,10.0,Relationship managementInterpersonal skillsSalesMISBancassuranceData analyticsManagementMonitoring,4,Relationship managementInterpersonal skillsSalesMISBancassuranceData analyticsManagementMonitoring,IT,2026-02-15,Feb
Delivery Manager Data Science Operations,Bangalore,6.0,10.0,Online researchData analysisTyping speedExcelWeb Research ExecutiveData collectionMS WordData analytics,4,Online researchData analysisTyping speedExcelWeb Research ExecutiveData collectionMS WordData analytics,IT,2026-02-15,Feb
Healthcare Data Science Engineer,Bangalore,6.0,10.0,Analystdata scienceGCPMachine learningDeploymentMathematicsPredictive analyticsStatistics,4,Analystdata scienceGCPMachine learningDeploymentMathematicsPredictive analyticsStatistics,IT,2026-02-15,Feb
Data Specialist,Bangalore,4.5,8.0,SANPDFAnalyticalSMSHypothesis TestingProduct designQlikViewCRM,3,SANPDFAnalyticalSMSHypothesis TestingProduct designQlikViewCRM,IT,2026-01-15,Jan
Data Science Engineer,Bangalore,4.0,8.0,BPOAnalystStatistical modelingProcess documentationAnalyticalTrend analysisBudgetingForecasting,2,BPOAnalystStatistical modelingProcess documentationAnalyticalTrend analysisBudgetingForecasting,IT,2026-02-15,Feb
Data Science Manager,Bangalore,12.0,20.0,Business AnalyticsAdvanced ExcelAnalyticsData AnalysisData ReportingData ManagementHLOOKUPMacros,8,Business AnalyticsAdvanced ExcelAnalyticsData AnalysisData ReportingData ManagementHLOOKUPMacros,IT,2026-02-15,Feb
Data Specialist - BI EM,Gurgaon,4.5,8.0,Business processData analysisProject managementAnalyticalSystem integrationAgileSecurity servicesSDLC,3,Business processData analysisProject managementAnalyticalSystem integrationAgileSecurity servicesSDLC,IT,2026-01-15,Jan
"Manager Data Science, Fintech",Bangalore,18.0,30.0,Customer service orientationAgile scrumBusiness AnalystBusiness analysisBfsiFinanceBankingHealthcare,12,Customer service orientationAgile scrumBusiness AnalystBusiness analysisBfsiFinanceBankingHealthcare,IT,2026-01-15,Jan
Data Science Intern,Other,7.5,12.5,business analysisPLSQLbusiness analyststatistical analysisdata analystBASQLData,5,business analysisPLSQLbusiness analyststatistical analysisdata analystBASQLData,IT,2026-02-15,Feb
Data Science Professional,Mumbai,13.5,22.5,data analysisBi ToolsData ManagementBusiness analysisManagementDataBiReporting,9,data analysisBi ToolsData ManagementBusiness analysisManagementDataBiReporting,IT,2026-02-15,Feb
Head Data Science -Leading Company - Mumbai / Delhi,Mumbai,4.0,8.0,Data analysisAutomationBusiness analysisProject managementReconciliationmicrosoftciscoOperations,1,Data analysisAutomationBusiness analysisProject managementReconciliationmicrosoftciscoOperations,IT,2026-02-15,Feb
Data Science Intern,Other,4.0,8.0,Data analysisAutomationBusiness analysisProject managementReconciliationmicrosoftciscoOperations,0,Data analysisAutomationBusiness analysisProject managementReconciliationmicrosoftciscoOperations,IT,2026-02-15,Feb
Data Science - Intern,Other,6.0,10.0,Communication SkillsAnalytical SkillBusiness AnalysisPresentation SkillsProcess AnalysisProblem SolvingAnalyticsAnalytical,4,Communication SkillsAnalytical SkillBusiness AnalysisPresentation SkillsProcess AnalysisProblem SolvingAnalyticsAnalytical,IT,2026-02-15,Feb
Cloud Data Architecture Database Administrator,Mumbai,4.0,8.0,Business AnalyticsAccountingFinanceMBAAnalyticsBusiness analysis,2,Business AnalyticsAccountingFinanceMBAAnalyticsBusiness analysis,IT,2026-02-15,Feb
Data Engineer,Delhi,6.0,10.0,Analytical skillsERPBaanData managementBusiness reportingVLOOKUPBusiness Operations AnalystOracle,4,Analytical skillsERPBaanData managementBusiness reportingVLOOKUPBusiness Operations AnalystOracle,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,10.5,17.5,Data analysisChange managementAutomationProject managementProcess improvementRisk managementOperationsFinancial services,7,Data analysisChange managementAutomationProject managementProcess improvementRisk managementOperationsFinancial services,IT,2026-02-15,Feb
Senior Cloud Architect Data Engineering,Hyderabad,7.5,12.5,IT servicesBusiness administrationSANData analysisBusiness analysisSOCCRMData,5,IT servicesBusiness administrationSANData analysisBusiness analysisSOCCRMData,IT,2026-02-15,Feb
Python Developer - Data Engineering,Bangalore,4.5,8.0,Data ScienceHealthcare AnalyticsPower BiData VisualizationHealth InformaticsSQL CodingTableauData Modeling,3,Data ScienceHealthcare AnalyticsPower BiData VisualizationHealth InformaticsSQL CodingTableauData Modeling,IT,2026-02-15,Feb
"Data Science Role || Gurgaon, Bangalore",Bangalore,12.0,20.0,ERPData analysisData managementAnalyticalScrumInformaticaOracleOperations,8,ERPData analysisData managementAnalyticalScrumInformaticaOracleOperations,IT,2026-02-15,Feb
Hiring For Data Science Intern,Bangalore,4.5,8.0,Data migrationManager Quality AssuranceBusiness analysisDesign reviewDynamics CRMProject managementAgile developmentVisio,3,Data migrationManager Quality AssuranceBusiness analysisDesign reviewDynamics CRMProject managementAgile developmentVisio,IT,2026-02-15,Feb
"Intermediate Representative, Data Management Operations",Chennai,6.0,10.0,process analysisBusiness AnalysisInternal stakeholder manamentdata analysistelcotelecomResource managementclient manament,4,process analysisBusiness AnalysisInternal stakeholder manamentdata analysistelcotelecomResource managementclient manament,IT,2026-02-15,Feb
Tableau Developer,Hyderabad,4.0,8.0,SAS RManager TechnologyEquityHealthcareHRData analyticsResearchVideo conference,1,SAS RManager TechnologyEquityHealthcareHRData analyticsResearchVideo conference,IT,2026-02-15,Feb
Business System Analyst- ETL (Big Data),Hyderabad,4.0,8.0,BigquerySQLBig data setsExcelstatisticsPredictive ModelingEtl Pipelinespython,2,BigquerySQLBig data setsExcelstatisticsPredictive ModelingEtl Pipelinespython,IT,2026-02-15,Feb
Sr. Business Data Analyst,Bangalore,4.0,8.0,Computer scienceERMData analysisManager Internal AuditInterpersonal skillsBusiness AnalystBusiness analysisProject management,2,Computer scienceERMData analysisManager Internal AuditInterpersonal skillsBusiness AnalystBusiness analysisProject management,IT,2026-02-15,Feb
Frontline Sales-Agency,Gurgaon,4.5,8.0,Project developmentBusiness AnalystAmadeusDevelopmentProjectBusiness analysis,3,Project developmentBusiness AnalystAmadeusDevelopmentProjectBusiness analysis,Sales,2026-02-15,Feb
Frontline Sales-Bancassurance,Gurgaon,9.0,15.0,Retail BankingCustomer ServiceBanking OperationsHome LoansPersonal LoansLoansRetail SalesFinancial Services,6,Retail BankingCustomer ServiceBanking OperationsHome LoansPersonal LoansLoansRetail SalesFinancial Services,Sales,2026-02-15,Feb
Web Research Executive,Ahmedabad,6.0,10.0,assembly languageSix SigmaJavaScriptReal Time Operating Systems.NETHTMLOraclePython,4,assembly languageSix SigmaJavaScriptReal Time Operating Systems.NETHTMLOraclePython,IT,2026-02-15,Feb
Data Scientist - Senior Analyst,Bangalore,6.0,10.0,Computer scienceData managementAnalyticalMachine learningShell scriptingHealthcareData analyticsMonitoring,4,Computer scienceData managementAnalyticalMachine learningShell scriptingHealthcareData analyticsMonitoring,IT,2026-02-15,Feb
Business Analyst/ Data Analyst,Bangalore,6.0,10.0,ERPData modelingBusiness analyticsAnalyticalPredictive modelingmicrosoftData miningBusiness intelligence,4,ERPData modelingBusiness analyticsAnalyticalPredictive modelingmicrosoftData miningBusiness intelligence,IT,2026-02-15,Feb
Forecasting Analyst / Data Scientist,Bangalore,6.0,10.0,Data AnalysisPower BITableauSparkETLAWSSQLPython,4,Data AnalysisPower BITableauSparkETLAWSSQLPython,IT,2026-02-15,Feb
Business Analyst,Bangalore,12.0,20.0,Pythondata cleansingdata managementdata quality assessmenttime managementData AnalysisSQLData,8,Pythondata cleansingdata managementdata quality assessmenttime managementData AnalysisSQLData,IT,2026-02-15,Feb
Business Analyst II,Other,4.0,8.0,workday reportingHr ReportingHR statistical reportingworkday report writingHR AnalyticsReportingHrsdReport writing,2,workday reportingHr ReportingHR statistical reportingworkday report writingHR AnalyticsReportingHrsdReport writing,IT,2026-02-15,Feb
Business Analyst,Mumbai,4.5,8.0,Etl InformaticaSnowflakeAWSETLDataInformaticaData analysis,3,Etl InformaticaSnowflakeAWSETLDataInformaticaData analysis,IT,2026-02-15,Feb
Business Analyst,Ahmedabad,7.5,12.5,tableauMarketing analyticsGoogle Analyticsquery optimizationWeb technologiesData AnalystDigital marketingAnalytics,5,tableauMarketing analyticsGoogle Analyticsquery optimizationWeb technologiesData AnalystDigital marketingAnalytics,IT,2026-02-15,Feb
Business Analysis and Strategic Reporting Manager,Mumbai,19.5,32.5,Google Analyticsadobe analyticsWeb technologiesqueryData AnalystDataAdobeGoogle,13,Google Analyticsadobe analyticsWeb technologiesqueryData AnalystDataAdobeGoogle,IT,2026-02-15,Feb
